customer_id,age,country,account_type,balance,age_group
10271,61,Botswana,Basic,48885,Mature
10272,70,Zimbabwe,Standard,40218,Mature
10273,63,Namibia,Basic,53487,Mature
10274,60,Botswana,Premium,83839,Mature
10275,46,Zimbabwe,Standard,96625,Adult
10276,66,Zimbabwe,Premium,3627,Mature
10277,58,South Africa,Standard,50193,Mature
10278,40,Zimbabwe,Basic,12306,Adult
10279,52,Namibia,Premium,52378,Mature
10280,66,Zimbabwe,Standard,20038,Mature
10281,29,Botswana,Basic,50177,Young Adult
10282,40,Namibia,Standard,19021,Adult
10283,42,Namibia,Basic,35861,Adult
10284,41,Namibia,Basic,1124,Adult
10285,21,Zimbabwe,Standard,48728,Young Adult
10286,33,South Africa,Standard,39501,Adult
10287,62,South Africa,Basic,70500,Mature
10288,49,Namibia,Basic,6525,Adult
10289,41,Botswana,Basic,66283,Adult
10290,32,South Africa,Standard,81241,Adult
10291,69,Botswana,Standard,89355,Mature
10292,35,Botswana,Premium,34677,Adult
10293,62,South Africa,Standard,77061,Mature
10294,48,Zimbabwe,Premium,42330,Adult
10295,52,South Africa,Basic,12837,Mature
10296,57,Namibia,Basic,98544,Mature
10297,64,Botswana,Standard,83181,Mature
10298,45,Zimbabwe,Premium,97398,Adult
10299,25,Namibia,Premium,26419,Young Adult
10300,53,Botswana,Standard,10705,Mature
10301,20,Namibia,Premium,86828,Young Adult
10302,69,Zimbabwe,Premium,49597,Mature
10303,24,South Africa,Premium,89819,Young Adult
10304,49,Namibia,Standard,73043,Adult
10305,44,South Africa,Basic,29599,Adult
10306,28,Botswana,Standard,17505,Young Adult
10307,51,Namibia,Standard,64289,Mature
10308,32,South Africa,Basic,70831,Adult
10309,41,Botswana,Standard,29667,Adult
10310,34,Zimbabwe,Basic,20527,Adult
10311,53,Namibia,Basic,76663,Mature
10312,51,Namibia,Premium,35806,Mature
10313,42,Zimbabwe,Premium,70372,Adult
10314,21,Zimbabwe,Basic,38575,Young Adult
10315,37,Namibia,Standard,41562,Adult
10316,20,Botswana,Basic,20024,Young Adult
10317,40,South Africa,Premium,32967,Adult
10318,58,South Africa,Standard,68040,Mature
10319,33,Namibia,Basic,51168,Adult
10320,65,South Africa,Standard,75645,Mature
10321,38,Botswana,Standard,61669,Adult
10322,47,South Africa,Standard,43050,Adult
10323,30,Botswana,Premium,13318,Young Adult
10324,27,Zimbabwe,Standard,78158,Young Adult
10325,64,Zimbabwe,Standard,16888,Mature
10326,42,South Africa,Basic,66213,Adult
10327,23,Namibia,Premium,22920,Young Adult
10328,59,Namibia,Premium,55840,Mature
10329,57,Botswana,Standard,39131,Mature
10330,55,South Africa,Basic,87915,Mature
10331,19,Zimbabwe,Basic,61494,Young Adult
10332,33,Zimbabwe,Premium,26933,Adult
10333,62,Botswana,Basic,11652,Mature
10334,30,Namibia,Premium,68061,Young Adult
10335,18,South Africa,Basic,9570,Young Adult
10336,19,Botswana,Basic,2045,Young Adult
10337,47,Namibia,Basic,3596,Adult
10338,67,Namibia,Standard,65739,Mature
10339,31,South Africa,Basic,6168,Adult
10340,63,Zimbabwe,Premium,54106,Mature
10341,57,Botswana,Basic,11515,Mature
10342,52,Zimbabwe,Standard,14674,Mature
10343,54,Botswana,Standard,91174,Mature
10344,52,Botswana,Premium,84645,Mature
10345,27,Zimbabwe,Basic,18318,Young Adult
10346,40,South Africa,Basic,26223,Adult
10347,27,Zimbabwe,Premium,23577,Young Adult
10348,33,South Africa,Standard,55741,Adult
10349,18,Namibia,Basic,78608,Young Adult
10350,22,Zimbabwe,Premium,18317,Young Adult
10351,51,Namibia,Standard,16438,Mature
10352,45,South Africa,Premium,82109,Adult
10353,61,Botswana,Basic,65519,Mature
10354,69,Botswana,Premium,75073,Mature
10355,29,Namibia,Standard,78516,Young Adult
10356,25,Botswana,Basic,1133,Young Adult
10357,58,South Africa,Basic,85283,Mature
10358,34,Botswana,Premium,44684,Adult
10359,67,Zimbabwe,Basic,90825,Mature
10360,35,Zimbabwe,Standard,40110,Adult
10361,19,South Africa,Standard,2061,Young Adult
10362,70,Namibia,Standard,59625,Mature
10363,24,Namibia,Premium,70978,Young Adult
10364,32,Namibia,Standard,26166,Adult
10365,52,South Africa,Basic,76675,Mature
10366,46,South Africa,Premium,50173,Adult
10367,47,Zimbabwe,Basic,17704,Adult
10368,51,South Africa,Premium,40463,Mature
10369,46,Botswana,Standard,58045,Adult
10370,38,Namibia,Premium,18088,Adult
10371,41,South Africa,Premium,20885,Adult
10372,47,South Africa,Premium,69075,Adult
10373,37,Namibia,Basic,8446,Adult
10374,50,Botswana,Basic,13760,Adult
10375,39,Zimbabwe,Standard,52345,Adult
10376,37,Zimbabwe,Standard,79746,Adult
10377,52,Botswana,Standard,6517,Mature
10378,52,Zimbabwe,Premium,65635,Mature
10379,61,Namibia,Standard,92427,Mature
10380,41,Namibia,Standard,91240,Adult
10381,21,South Africa,Basic,42905,Young Adult
10382,28,Namibia,Premium,47840,Young Adult
10383,52,Botswana,Standard,71402,Mature
10384,63,Botswana,Premium,83837,Mature
10385,52,South Africa,Standard,41293,Mature
10386,27,Botswana,Standard,21933,Young Adult
10387,69,Zimbabwe,Basic,64411,Mature
10388,44,Botswana,Premium,1573,Adult
10389,36,South Africa,Standard,47251,Adult
10390,57,Botswana,Premium,53626,Mature
10391,33,South Africa,Standard,97343,Adult
10392,55,Zimbabwe,Premium,55881,Mature
10393,26,South Africa,Standard,48293,Young Adult
10394,41,South Africa,Basic,95601,Adult
10395,53,Zimbabwe,Premium,3952,Mature
10396,51,Botswana,Premium,9667,Mature
10397,29,Zimbabwe,Basic,56410,Young Adult
10398,28,Namibia,Premium,5226,Young Adult
10399,29,Zimbabwe,Standard,46115,Young Adult
10400,31,South Africa,Standard,57929,Adult
10401,58,Zimbabwe,Premium,3716,Mature
10402,25,Botswana,Basic,28998,Young Adult
10403,23,Botswana,Basic,56610,Young Adult
10404,57,Botswana,Premium,2144,Mature
10405,52,Zimbabwe,Standard,8793,Mature
10406,59,Botswana,Premium,78234,Mature
10407,20,South Africa,Standard,5902,Young Adult
10408,50,Namibia,Premium,32669,Adult
10409,28,Zimbabwe,Basic,88069,Young Adult
10410,24,Namibia,Basic,69084,Young Adult
10411,24,Botswana,Basic,17292,Young Adult
10412,48,South Africa,Standard,54501,Adult
10413,56,Namibia,Premium,6374,Mature
10414,41,Botswana,Basic,51503,Adult
10415,62,Zimbabwe,Basic,90440,Mature
10416,19,Zimbabwe,Standard,16758,Young Adult
10417,18,Zimbabwe,Premium,49810,Young Adult
10418,26,Zimbabwe,Premium,94358,Young Adult
10419,61,Botswana,Basic,54185,Mature
10420,37,Zimbabwe,Standard,23437,Adult
10421,48,South Africa,Standard,91432,Adult
10422,33,South Africa,Basic,22411,Adult
10423,56,Botswana,Premium,16533,Mature
10424,42,South Africa,Premium,28840,Adult
10425,58,Zimbabwe,Standard,79193,Mature
10426,63,Botswana,Basic,46263,Mature
10427,40,Botswana,Premium,22444,Adult
10428,20,South Africa,Basic,30998,Young Adult
10429,28,Zimbabwe,Premium,26119,Young Adult
10430,52,Zimbabwe,Standard,13876,Mature
10431,68,South Africa,Basic,71006,Mature
10432,24,Zimbabwe,Basic,52448,Young Adult
10433,49,South Africa,Premium,17771,Adult
10434,34,Namibia,Basic,52004,Adult
10435,19,Namibia,Basic,55344,Young Adult
10436,42,Botswana,Premium,56522,Adult
10437,44,Zimbabwe,Basic,51008,Adult
10438,21,Zimbabwe,Basic,31913,Young Adult
10439,60,Botswana,Standard,58420,Mature
10440,34,Namibia,Standard,29802,Adult
10441,26,Namibia,Standard,40892,Young Adult
10442,53,Namibia,Standard,70725,Mature
10443,47,South Africa,Basic,27948,Adult
10444,31,Zimbabwe,Standard,69275,Adult
10445,29,Botswana,Premium,12223,Young Adult
10446,46,Zimbabwe,Standard,76446,Adult
10447,63,Zimbabwe,Standard,71503,Mature
10448,69,South Africa,Basic,12433,Mature
10449,62,Zimbabwe,Basic,75487,Mature
10450,28,Zimbabwe,Basic,99617,Young Adult
10451,38,South Africa,Standard,28262,Adult
10452,62,Zimbabwe,Premium,92622,Mature
10453,59,Zimbabwe,Standard,35886,Mature
10454,56,Zimbabwe,Premium,73749,Mature
10455,46,Namibia,Standard,67354,Adult
10456,49,Zimbabwe,Premium,11669,Adult
10457,60,South Africa,Premium,59851,Mature
10458,54,Namibia,Standard,67793,Mature
10459,33,Namibia,Standard,78329,Adult
10460,32,Botswana,Basic,12982,Adult
10461,61,Botswana,Premium,15137,Mature
10462,22,Botswana,Premium,51795,Young Adult
10463,37,Namibia,Premium,35963,Adult
10464,44,Botswana,Standard,78664,Adult
10465,59,Namibia,Premium,30778,Mature
10466,48,Botswana,Premium,47633,Adult
10467,21,Zimbabwe,Standard,90951,Young Adult
10468,44,South Africa,Standard,36331,Adult
10469,65,Botswana,Basic,34371,Mature
10470,57,Namibia,Basic,71269,Mature
10471,24,Botswana,Premium,11718,Young Adult
10472,56,Namibia,Standard,94378,Mature
10473,29,Namibia,Standard,57120,Young Adult
10474,66,Zimbabwe,Standard,59425,Mature
10475,25,Botswana,Basic,53033,Young Adult
10476,31,South Africa,Premium,12194,Adult
10477,20,South Africa,Standard,4036,Young Adult
10478,55,South Africa,Standard,84874,Mature
10479,21,South Africa,Standard,19923,Young Adult
10480,46,Zimbabwe,Premium,35285,Adult
10481,70,Zimbabwe,Standard,82443,Mature
10482,57,Namibia,Standard,55706,Mature
10483,38,South Africa,Premium,18505,Adult
10484,33,Zimbabwe,Standard,35225,Adult
10485,57,Botswana,Premium,29939,Mature
10486,31,Namibia,Basic,71723,Adult
10487,52,South Africa,Premium,88239,Mature
10488,45,South Africa,Premium,71218,Adult
10489,66,Namibia,Basic,26309,Mature
10490,52,Botswana,Basic,55857,Mature
10491,53,South Africa,Premium,23960,Mature
10492,34,South Africa,Basic,51054,Adult
10493,64,South Africa,Standard,82220,Mature
10494,60,Namibia,Premium,55695,Mature
10495,24,Zimbabwe,Standard,88975,Young Adult
10496,58,Botswana,Standard,16408,Mature
10497,63,Zimbabwe,Basic,93255,Mature
10498,60,South Africa,Premium,81460,Mature
10499,29,South Africa,Premium,40971,Young Adult
10500,61,Namibia,Standard,7049,Mature
