customer_id,age,country,account_type,balance
10214,44,Zimbabwe,Premium,93089
10215,56,Namibia,Standard,4908
10216,55,Namibia,Standard,20602
10217,25,South Africa,Standard,28236
10218,39,South Africa,Standard,37190
10219,35,Zimbabwe,Premium,3361
10220,20,Zimbabwe,Basic,83657
10221,29,Namibia,Basic,26722
10222,25,Namibia,Standard,15033
10223,25,South Africa,Premium,88667
10224,38,Zimbabwe,Standard,53905
10225,39,Zimbabwe,Premium,44310
10226,44,Botswana,Standard,76247
10227,43,Namibia,Standard,71131
10228,25,Namibia,Standard,51330
10229,36,Zimbabwe,Standard,70265
10230,53,Zimbabwe,Standard,71123
10231,32,Botswana,Basic,2804
10232,29,South Africa,Premium,39062
10233,61,Botswana,Standard,78421
10234,18,Zimbabwe,Premium,93708
10235,53,Namibia,Premium,92069
10236,56,South Africa,Standard,10960
10237,45,Botswana,Basic,74488
10238,47,Namibia,Premium,65674
10239,45,South Africa,Standard,73117
10240,57,South Africa,Basic,84146
10241,38,Zimbabwe,Premium,84161
10242,67,Botswana,Premium,7530
10243,26,Botswana,Basic,79105
10244,63,Namibia,Premium,86602
10245,54,South Africa,Premium,45095
10246,22,South Africa,Basic,37772
10247,28,Namibia,Standard,65148
10248,49,Namibia,Basic,23985
10249,45,South Africa,Standard,58055
10250,50,South Africa,Basic,63214
10251,48,Namibia,Standard,24077
10252,67,Botswana,Premium,54030
10253,30,South Africa,Basic,67592
10254,18,South Africa,Premium,5977
10255,30,Zimbabwe,Basic,87397
10256,55,South Africa,Premium,38447
10257,64,Namibia,Premium,94664
10258,53,Botswana,Premium,39887
10259,32,Botswana,Standard,56692
10260,28,Zimbabwe,Premium,17198
10261,64,Namibia,Premium,91670
10262,37,Namibia,Basic,5095
10263,28,South Africa,Standard,43554
10264,34,Namibia,Standard,45774
10265,57,Botswana,Basic,2741
10266,70,Namibia,Standard,65022
10267,37,Namibia,Standard,12604
10268,26,South Africa,Basic,96068
10269,42,Zimbabwe,Standard,26984
10270,22,South Africa,Basic,29789
10271,61,Botswana,Basic,48885
10272,70,Zimbabwe,Standard,40218
10273,63,Namibia,Basic,53487
10274,60,Botswana,Premium,83839
10275,46,Zimbabwe,Standard,96625
10276,66,Zimbabwe,Premium,3627
10277,58,South Africa,Standard,50193
10278,40,Zimbabwe,Basic,12306
10279,52,Namibia,Premium,52378
10280,66,Zimbabwe,Standard,20038
10281,29,Botswana,Basic,50177
10282,40,Namibia,Standard,19021
10283,42,Namibia,Basic,35861
10284,41,Namibia,Basic,1124
10285,21,Zimbabwe,Standard,48728
10286,33,South Africa,Standard,39501
10287,62,South Africa,Basic,70500
10288,49,Namibia,Basic,6525
10289,41,Botswana,Basic,66283
10290,32,South Africa,Standard,81241
10291,69,Botswana,Standard,89355
10292,35,Botswana,Premium,34677
10293,62,South Africa,Standard,77061
10294,48,Zimbabwe,Premium,42330
10295,52,South Africa,Basic,12837
10296,57,Namibia,Basic,98544
10297,64,Botswana,Standard,83181
10298,45,Zimbabwe,Premium,97398
10299,25,Namibia,Premium,26419
10300,53,Botswana,Standard,10705
10301,20,Namibia,Premium,86828
10302,69,Zimbabwe,Premium,49597
10303,24,South Africa,Premium,89819
10304,49,Namibia,Standard,73043
10305,44,South Africa,Basic,29599
10306,28,Botswana,Standard,17505
10307,51,Namibia,Standard,64289
10308,32,South Africa,Basic,70831
10309,41,Botswana,Standard,29667
10310,34,Zimbabwe,Basic,20527
10311,53,Namibia,Basic,76663
10312,51,Namibia,Premium,35806
10313,42,Zimbabwe,Premium,70372
10314,21,Zimbabwe,Basic,38575
10315,37,Namibia,Standard,41562
10316,20,Botswana,Basic,20024
10317,40,South Africa,Premium,32967
10318,58,South Africa,Standard,68040
10319,33,Namibia,Basic,51168
10320,65,South Africa,Standard,75645
10321,38,Botswana,Standard,61669
10322,47,South Africa,Standard,43050
10323,30,Botswana,Premium,13318
10324,27,Zimbabwe,Standard,78158
10325,64,Zimbabwe,Standard,16888
10326,42,South Africa,Basic,66213
10327,23,Namibia,Premium,22920
10328,59,Namibia,Premium,55840
10329,57,Botswana,Standard,39131
10330,55,South Africa,Basic,87915
10331,19,Zimbabwe,Basic,61494
10332,33,Zimbabwe,Premium,26933
10333,62,Botswana,Basic,11652
10334,30,Namibia,Premium,68061
10335,18,South Africa,Basic,9570
10336,19,Botswana,Basic,2045
10337,47,Namibia,Basic,3596
10338,67,Namibia,Standard,65739
10339,31,South Africa,Basic,6168
10340,63,Zimbabwe,Premium,54106
10341,57,Botswana,Basic,11515
10342,52,Zimbabwe,Standard,14674
10343,54,Botswana,Standard,91174
10344,52,Botswana,Premium,84645
10345,27,Zimbabwe,Basic,18318
10346,40,South Africa,Basic,26223
10347,27,Zimbabwe,Premium,23577
10348,33,South Africa,Standard,55741
10349,18,Namibia,Basic,78608
10350,22,Zimbabwe,Premium,18317
10351,51,Namibia,Standard,16438
10352,45,South Africa,Premium,82109
10353,61,Botswana,Basic,65519
10354,69,Botswana,Premium,75073
10355,29,Namibia,Standard,78516
10356,25,Botswana,Basic,1133
10357,58,South Africa,Basic,85283
10358,34,Botswana,Premium,44684
10359,67,Zimbabwe,Basic,90825
10360,35,Zimbabwe,Standard,40110
10361,19,South Africa,Standard,2061
10362,70,Namibia,Standard,59625
10363,24,Namibia,Premium,70978
10364,32,Namibia,Standard,26166
10365,52,South Africa,Basic,76675
10366,46,South Africa,Premium,50173
10367,47,Zimbabwe,Basic,17704
10368,51,South Africa,Premium,40463
10369,46,Botswana,Standard,58045
10370,38,Namibia,Premium,18088
10371,41,South Africa,Premium,20885
10372,47,South Africa,Premium,69075
10373,37,Namibia,Basic,8446
10374,50,Botswana,Basic,13760
10375,39,Zimbabwe,Standard,52345
10376,37,Zimbabwe,Standard,79746
10377,52,Botswana,Standard,6517
10378,52,Zimbabwe,Premium,65635
10379,61,Namibia,Standard,92427
10380,41,Namibia,Standard,91240
10381,21,South Africa,Basic,42905
10382,28,Namibia,Premium,47840
10383,52,Botswana,Standard,71402
10384,63,Botswana,Premium,83837
10385,52,South Africa,Standard,41293
10386,27,Botswana,Standard,21933
10387,69,Zimbabwe,Basic,64411
10388,44,Botswana,Premium,1573
10389,36,South Africa,Standard,47251
10390,57,Botswana,Premium,53626
10391,33,South Africa,Standard,97343
10392,55,Zimbabwe,Premium,55881
10393,26,South Africa,Standard,48293
10394,41,South Africa,Basic,95601
10395,53,Zimbabwe,Premium,3952
10396,51,Botswana,Premium,9667
10397,29,Zimbabwe,Basic,56410
10398,28,Namibia,Premium,5226
10399,29,Zimbabwe,Standard,46115
10400,31,South Africa,Standard,57929
10401,58,Zimbabwe,Premium,3716
10402,25,Botswana,Basic,28998
10403,23,Botswana,Basic,56610
10404,57,Botswana,Premium,2144
10405,52,Zimbabwe,Standard,8793
10406,59,Botswana,Premium,78234
10407,20,South Africa,Standard,5902
10408,50,Namibia,Premium,32669
10409,28,Zimbabwe,Basic,88069
10410,24,Namibia,Basic,69084
10411,24,Botswana,Basic,17292
10412,48,South Africa,Standard,54501
10413,56,Namibia,Premium,6374
10414,41,Botswana,Basic,51503
10415,62,Zimbabwe,Basic,90440
10416,19,Zimbabwe,Standard,16758
10417,18,Zimbabwe,Premium,49810
10418,26,Zimbabwe,Premium,94358
10419,61,Botswana,Basic,54185
10420,37,Zimbabwe,Standard,23437
10421,48,South Africa,Standard,91432
10422,33,South Africa,Basic,22411
10423,56,Botswana,Premium,16533
10424,42,South Africa,Premium,28840
10425,58,Zimbabwe,Standard,79193
10426,63,Botswana,Basic,46263
10427,40,Botswana,Premium,22444
10428,20,South Africa,Basic,30998
10429,28,Zimbabwe,Premium,26119
10430,52,Zimbabwe,Standard,13876
10431,68,South Africa,Basic,71006
10432,24,Zimbabwe,Basic,52448
10433,49,South Africa,Premium,17771
10434,34,Namibia,Basic,52004
10435,19,Namibia,Basic,55344
10436,42,Botswana,Premium,56522
10437,44,Zimbabwe,Basic,51008
10438,21,Zimbabwe,Basic,31913
10439,60,Botswana,Standard,58420
10440,34,Namibia,Standard,29802
10441,26,Namibia,Standard,40892
10442,53,Namibia,Standard,70725
10443,47,South Africa,Basic,27948
10444,31,Zimbabwe,Standard,69275
10445,29,Botswana,Premium,12223
10446,46,Zimbabwe,Standard,76446
10447,63,Zimbabwe,Standard,71503
10448,69,South Africa,Basic,12433
10449,62,Zimbabwe,Basic,75487
10450,28,Zimbabwe,Basic,99617
10451,38,South Africa,Standard,28262
10452,62,Zimbabwe,Premium,92622
10453,59,Zimbabwe,Standard,35886
10454,56,Zimbabwe,Premium,73749
10455,46,Namibia,Standard,67354
10456,49,Zimbabwe,Premium,11669
10457,60,South Africa,Premium,59851
10458,54,Namibia,Standard,67793
10459,33,Namibia,Standard,78329
10460,32,Botswana,Basic,12982
10461,61,Botswana,Premium,15137
10462,22,Botswana,Premium,51795
10463,37,Namibia,Premium,35963
10464,44,Botswana,Standard,78664
10465,59,Namibia,Premium,30778
10466,48,Botswana,Premium,47633
10467,21,Zimbabwe,Standard,90951
10468,44,South Africa,Standard,36331
10469,65,Botswana,Basic,34371
10470,57,Namibia,Basic,71269
10471,24,Botswana,Premium,11718
10472,56,Namibia,Standard,94378
10473,29,Namibia,Standard,57120
10474,66,Zimbabwe,Standard,59425
10475,25,Botswana,Basic,53033
10476,31,South Africa,Premium,12194
10477,20,South Africa,Standard,4036
10478,55,South Africa,Standard,84874
10479,21,South Africa,Standard,19923
10480,46,Zimbabwe,Premium,35285
10481,70,Zimbabwe,Standard,82443
10482,57,Namibia,Standard,55706
10483,38,South Africa,Premium,18505
10484,33,Zimbabwe,Standard,35225
10485,57,Botswana,Premium,29939
10486,31,Namibia,Basic,71723
10487,52,South Africa,Premium,88239
10488,45,South Africa,Premium,71218
10489,66,Namibia,Basic,26309
10490,52,Botswana,Basic,55857
10491,53,South Africa,Premium,23960
10492,34,South Africa,Basic,51054
10493,64,South Africa,Standard,82220
10494,60,Namibia,Premium,55695
10495,24,Zimbabwe,Standard,88975
10496,58,Botswana,Standard,16408
10497,63,Zimbabwe,Basic,93255
10498,60,South Africa,Premium,81460
10499,29,South Africa,Premium,40971
10500,61,Namibia,Standard,7049
